time,siga,sigb,sigc,pumpon,sige,sigf,sigg,sigh,sigt
0054418976,127,63,0,0,127,127,2,0,16
0054503172,127,63,0,0,127,127,2,0,16
0054597236,127,63,0,0,127,127,2,0,16
0054679536,127,63,0,0,127,127,2,0,16
0054761872,127,63,0,0,127,127,2,0,16
0054844228,127,63,0,0,127,127,2,0,16
0054938348,127,0,127,0,127,127,2,7,23
0055021356,127,0,127,0,127,127,2,7,23
0055105844,127,0,127,0,127,127,2,7,23
0055190376,127,0,127,0,127,127,2,7,23
0055274840,127,0,127,0,127,127,2,7,23
0055359348,127,0,127,0,127,127,2,7,23
0055443932,127,0,127,0,127,127,2,7,23
0055539248,127,0,127,0,127,127,2,7,23
0055621592,127,0,127,0,127,127,2,7,23
0055703928,127,0,127,0,127,127,2,7,23
0055797996,127,0,127,0,127,127,2,7,23
0055880312,127,0,127,0,127,127,2,7,23
0055963828,127,63,0,0,127,127,2,0,16
0056059776,127,63,0,0,127,127,2,0,16
0056144276,127,63,0,0,127,127,2,0,16
0056240828,127,63,0,0,127,127,2,0,16
0056325336,127,63,0,0,127,127,2,0,16
0056421944,127,63,0,0,127,127,2,0,16
0056506144,127,63,0,0,127,127,2,0,16
0056600208,127,63,0,0,127,127,2,0,16
0056682508,127,63,0,0,127,127,2,0,16
0056764864,127,63,0,0,127,127,2,0,16
0056858928,127,63,0,0,127,127,2,0,16
0056941344,127,0,127,0,127,127,2,7,23
0057024332,127,0,127,0,127,127,2,7,23
0057120868,127,0,127,0,127,127,2,7,23
0057205388,127,0,127,0,127,127,2,7,23
0057301928,127,0,127,0,127,127,2,7,23
0057386392,127,0,127,0,127,127,2,7,23
0057470980,127,0,127,0,127,127,2,7,23
0057553948,127,0,127,0,127,127,2,7,23
0057636288,127,0,127,0,127,127,2,7,23
0057730368,127,0,127,0,127,127,2,7,23
0057812720,127,0,127,0,127,127,2,7,23
0057895060,127,0,127,0,127,127,2,7,23
0057990316,127,63,0,0,127,127,2,0,16
0058074780,127,63,0,0,127,127,2,0,16
0058171336,127,63,0,0,127,127,2,0,16
0058255856,127,63,0,0,127,127,2,0,16
0058352408,127,63,0,0,127,127,2,0,16
0058436976,127,63,0,0,127,127,2,0,16
0058532572,127,63,0,0,127,127,2,0,16
0058614912,127,63,0,0,127,127,2,0,16
0058697248,127,63,0,0,127,127,2,0,16
0058791312,127,63,0,0,127,127,2,0,16
0058873612,127,63,0,0,127,127,2,0,16
0058956012,127,0,127,0,127,127,2,7,23
0059051652,127,0,127,0,127,127,2,7,23
0059136140,127,0,127,0,127,127,2,7,23
0059232688,127,0,127,0,127,127,2,7,23
0059317196,127,0,127,0,127,127,2,7,23
0059413808,127,0,127,0,127,127,2,7,23
0059498308,127,0,127,0,127,127,2,7,23
0059592352,127,0,127,0,127,127,2,7,23
0059674652,127,0,127,0,127,127,2,7,23
0059757008,127,0,127,0,127,127,2,7,23
0059851052,127,0,127,0,127,127,2,7,23
0059934572,127,63,0,0,127,127,2,0,16
0060017560,127,63,0,0,127,127,2,0,16
0060114088,127,63,0,0,127,127,2,0,16
0060198592,127,63,0,0,127,127,2,0,16
0060283060,127,63,0,0,127,127,2,0,16
0060367564,127,63,0,0,127,127,2,0,16
0060464160,127,63,0,0,127,127,2,0,16
0060547428,127,63,0,0,127,127,2,0,16
0060641492,127,63,0,0,127,127,2,0,16
0060723828,127,63,0,0,127,127,2,0,16
