time,brewboiler,serviceboiler,waterlevel,microswitch
0062127812,90.5,124.7,792,255
0062207936,90.5,124.5,792,255
0062297832,90.5,124.5,792,255
0062378056,90.5,124.7,792,255
0062467976,90.4,124.7,792,255
0062558096,90.4,124.7,792,255
0062638216,90.3,124.5,792,255
0062728220,90.3,124.7,792,255
0062808236,90.3,124.7,792,255
0062888356,90.3,124.7,792,255
0062978376,90.1,124.7,792,255
0063068476,90.1,124.7,792,255
0063148492,90.1,124.7,792,255
0063238616,90.0,124.7,792,255
0063328636,90.0,124.7,792,255
0063408632,90.0,124.7,792,255
0063488652,90.0,124.7,792,255
0063578752,89.9,124.7,792,255
0063658876,89.9,124.7,792,255
0063738876,89.9,124.7,792,255
0063828996,89.8,124.8,792,255
0063908996,89.8,124.7,792,255
0063989116,89.8,124.8,792,255
0064079120,89.8,124.8,792,255
0064169096,89.8,124.8,792,255
0064249192,89.8,124.8,792,255
0064339212,89.7,124.8,792,255
0064429312,89.6,124.8,792,255
0064509308,89.7,125.0,792,255
0064589324,89.6,124.8,792,255
0064679428,89.4,124.8,792,255
0064759544,89.4,125.0,792,255
0064849548,89.4,125.0,792,255
0064939568,89.3,125.0,792,255
0065019684,89.3,125.0,792,255
0065109684,89.3,125.0,792,255
0065189792,89.2,125.0,792,255
0065269808,89.2,125.0,792,0
0065359924,89.2,125.2,792,0
0065439836,89.1,125.0,792,0
0065519932,89.1,125.0,792,0
0065610048,89.1,125.0,792,0
0065690052,89.0,125.0,792,0
0065780044,89.0,125.2,792,0
0065870156,88.8,125.0,792,0
0065950144,88.8,125.2,792,0
0066040236,88.8,125.2,792,0
0066120244,88.7,125.2,792,0
0066210256,88.7,125.2,792,0
0066300348,88.7,125.0,792,0
0066380460,88.6,125.2,792,0
0066470452,88.5,125.2,792,0
0066550460,88.5,125.2,792,0
0066640572,88.5,125.2,792,0
0066730568,88.4,125.2,792,0
0066810656,88.2,125.2,792,0
0066900668,88.2,125.2,792,0
0066990640,88.2,125.2,792,0
0067070752,88.1,125.2,792,0
0067160868,88.1,125.2,792,0
0067240864,88.0,125.2,792,0
0067330848,88.0,125.3,792,0
0067420840,87.9,125.3,792,0
0067500956,88.0,125.2,792,0
0067591052,87.8,125.2,792,0
0067681036,87.9,125.3,792,0
0067761052,87.7,125.3,792,0
0067851040,87.7,125.2,792,0
0067931236,87.7,125.3,792,0
0068021232,87.5,125.3,792,0
0068111240,87.5,125.3,792,0
0068191332,87.4,125.2,792,0
0068281328,87.4,125.3,792,0
0068361336,87.4,125.3,792,0
0068451452,87.4,125.2,792,0
0068541444,87.3,125.3,792,0
0068621556,87.2,125.2,792,0
0068711548,87.2,125.3,792,0
0068801664,87.2,125.3,792,0
0068881652,87.2,125.3,792,0
0068971664,87.1,125.3,792,0
0069051796,87.1,125.3,792,0
0069141892,86.9,125.3,792,0
0069231904,86.9,125.3,792,0
0069311912,86.9,125.3,792,0
0069402028,86.8,125.3,792,0
0069482040,86.9,125.3,792,0
0069572176,86.8,125.3,792,0
0069662088,86.8,125.3,792,0
0069742196,86.7,125.3,792,0
0069832312,86.7,125.5,792,0
0069922324,86.7,125.3,792,0
