time,b2,b5,b8,b16,b11
87558368,530,614,114,462,453
87648296,530,614,115,462,452
87738408,530,614,115,463,453
87828416,530,614,115,463,453
87928524,530,614,114,462,453
88018652,530,614,114,462,453
88108684,530,614,114,462,453
88208816,530,614,114,461,453
88298944,530,614,113,461,453
88388956,530,614,114,461,453
88488988,530,614,113,461,453
88579136,530,614,114,461,452
88669144,530,614,114,461,453
88759296,530,614,113,461,453
88849324,530,614,113,461,453
88949372,530,614,113,460,452
89039504,530,614,113,460,453
89129616,529,614,112,458,453
89229668,530,614,113,459,452
89319676,529,614,112,459,453
89419808,529,614,112,458,452
89509920,529,614,111,457,452
89599852,529,614,111,458,453
89689984,529,614,111,456,452
89780112,529,614,111,458,453
89880136,529,614,111,457,452
89970168,528,614,110,455,452
90060280,528,614,110,456,453
90160396,528,614,110,455,453
90250284,528,614,110,455,452
90340412,528,614,110,456,453
90440520,528,614,109,455,453
90530528,528,614,109,453,452
90620636,528,614,109,455,453
90710628,528,614,109,455,453
90800740,528,614,109,455,453
90900756,527,614,108,453,453
90990744,527,614,108,452,452
91080876,527,614,108,453,453
91180992,527,614,108,453,453
91270996,527,614,107,451,452
91361104,527,614,107,452,453
91461140,527,614,107,452,453
91551152,527,614,106,451,453
91641264,527,614,106,451,453
91731376,527,614,106,451,453
91831388,527,614,106,451,453
91921400,527,614,106,450,452
